Time,Symbol,Side,Entry,Exit,Qty,Net PnL,Hold,Reason
'26/08/2026, 14:32:58','XRP','BUY','1.4383','1.4323','3476.326218','-$21.86','885.0s','FibResistance(0.6%) SwingResistance(1) SwingSupport(7) | OBI(0.27) > 0.12 & Z(-0.91) < -0.72 | Regime: TRENDING_BEAR'
'26/08/2026, 03:38:50','ETH','BUY','2456.7','2449.5','2.035251','-$15.65','1734.4s','SwingSupport(3) SwingResistance(2) | OBI(0.86) > 0.12 & Z(-0.72) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 03:20:28','XRP','BUY','1.4596','1.4597','3425.596054','-$0.657','616.5s','SwingSupport(7) POCMagnet | OBI(0.69) > 0.12 & Z(-0.94) < -0.72 | Regime: TRENDING_BEAR'
'26/08/2026, 03:03:03','ETH','BUY','2457.2','2458.3','2.034836','$1.238','1308.7s','SwingSupport(3) SwingResistance(2) SwingResistance(2) | OBI(0.65) > 0.12 & Z(-1.08) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 02:32:23','ETH','BUY','2465.0','2457.5','2.028398','-$16.21','1155.6s','SwingSupport(3) SwingResistance(2) SwingResistance(2) | OBI(0.45) > 0.12 & Z(-0.82) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 02:28:58','XRP','BUY','1.4758','1.4712','3387.992953','-$16.58','945.5s','POCMagnet | OBI(0.88) > 0.12 & Z(-1.00) < -0.72 | Regime: TRENDING_BEAR'
'26/08/2026, 02:26:27','SUI','BUY','0.7817','0.7783','6396.561209','-$22.23','536.2s','SwingSupport(1) | OBI(0.17) > 0.12 & Z(-0.77) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 01:36:54','ETH','BUY','2458.4','2466.5','2.033843','$15.47','4325.1s','SwingSupport(2) SwingResistance(2) SwingResistance(2) | OBI(0.95) > 0.12 & Z(-0.79) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 01:04:46','XRP','BUY','1.4679','1.4768','3406.226582','$29.31','1575.0s','SwingSupport(6) POCMagnet | OBI(0.93) > 0.10 & Z(-0.79) < -0.63 | Regime: LOW_VOLATILITY'
'26/08/2026, 00:55:46','DOGE','SELL','0.0889','0.0888','56271.453492','$1.364','364.6s','FibResistance(0.0%) SwingSupport(2) | OBI(-0.63) < -0.12 & Z(0.71) > 0.48 | Regime: TRENDING_BULL'
'26/08/2026, 00:32:26','DOGE','SELL','0.0886','0.0885','56403.487992','$6.954','818.4s','FibResistance(0.2%) SwingSupport(2) | OBI(-0.68) < -0.12 & Z(0.83) > 0.48 | Regime: TRENDING_BULL'
'26/08/2026, 00:10:36','ETH','BUY','2465.8','2455.5','2.027739','-$21.88','317.7s','SwingSupport(2) SwingResistance(2) SwingResistance(2) | OBI(0.98) > 0.12 & Z(-0.66) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 00:06:56','BTC','BUY','79420','79017','0.062956','-$26.37','3591.7s','SwingResistance(3) BullishFVG | OBI(0.96) > 0.12 & Z(-1.15) < -0.48 | Regime: TRENDING_BEAR'
'26/08/2026, 00:06:39','SUI','SELL','0.7888','0.7817','6338.420973','$43.94','961.8s','FibSupport(0.9%) FibResistance(0.9%) SwingSupport(3) | OBI(-0.36) < -0.12 & Z(0.68) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 23:51:26','XRP','BUY','1.4680','1.4730','3405.99455','$16.03','1589.7s','SwingSupport(6) | OBI(0.45) > 0.12 & Z(-0.76) < -0.72 | Regime: TRENDING_BEAR'
'25/08/2026, 23:08:35','NEAR','BUY','1.9075','1.9088','2621.231979','$2.407','1258.1s','FibResistance(0.9%) SwingSupport(3) | OBI(0.44) > 0.12 & Z(-0.65) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 22:58:44','ETH','SELL','2469.5','2481.9','2.024701','-$26.11','1828.3s','SwingResistance(2) SwingResistance(2) | OBI(-0.52) < -0.10 & Z(0.82) > 0.42 | Regime: LOW_VOLATILITY'
'25/08/2026, 22:10:52','NEAR','BUY','1.9139','1.9139','2612.466691','-$1.000','344.6s','FibResistance(0.5%) SwingSupport(3) | OBI(0.76) > 0.12 & Z(-0.83) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 21:27:26','SUI','SELL','0.7919','0.7959','6314.008259','-$26.32','187.6s','FibSupport(0.5%) FibResistance(0.5%) SwingSupport(3) | OBI(-0.49) < -0.12 & Z(0.60) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 21:20:03','ETH','BUY','2457.6','2463.8','2.034505','$11.61','991.5s','SwingSupport(2) SwingResistance(2) SwingResistance(2) | OBI(0.43) > 0.12 & Z(-0.53) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 20:30:16','ETH','SELL','2468.8','2460.9','2.025275','$15.00','2800.1s','SwingResistance(2) SwingResistance(2) | OBI(-0.73) < -0.12 & Z(0.75) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 20:29:22','HYPE','BUY','79.3140','78.9300','63.040573','-$25.21','713.7s','POCMagnet | OBI(0.67) > 0.12 & Z(-0.61) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 20:00:12','XRP','BUY','1.4667','1.4743','3409.013432','$24.91','1130.2s','[CVD DIVERGENCE] SwingSupport(6) | OBI(0.62) > 0.12 & Z(-0.74) < -0.72 | Regime: TRENDING_BEAR'
'25/08/2026, 19:43:52','HYPE','BUY','79.5670','79.5840','62.840122','$0.0682','477.4s','POCMagnet | OBI(0.46) > 0.12 & Z(-0.79) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 19:41:38','ETH','SELL','2466.9','2466.0','2.026835','$0.824','543.0s','SwingSupport(2) SwingResistance(2) SwingResistance(2) | OBI(-0.41) < -0.12 & Z(0.70) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 19:40:12','XRP','BUY','1.4680','1.4682','3405.99455','-$0.319','764.3s','[CVD DIVERGENCE] SwingSupport(6) | OBI(0.91) > 0.12 & Z(-0.87) < -0.72 | Regime: TRENDING_BEAR'
'25/08/2026, 19:35:44','NEAR','BUY','1.9225','1.9240','2600.780234','$2.901','495.7s','[CVD DIVERGENCE] FibResistance(0.1%) SwingSupport(3) SwingResistance(2) | OBI(0.47) > 0.12 & Z(-0.92) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 19:25:52','ETH','BUY','2466.2','2467.3','2.027411','$1.230','129.4s','SwingSupport(2) SwingResistance(2) SwingResistance(2) | OBI(0.89) > 0.12 & Z(-0.51) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 19:23:32','SUI','SELL','0.8003','0.7999','6248.047485','$1.374','676.7s','FibSupport(0.5%) FibResistance(0.5%) SwingSupport(3) SwingSupport(2) | OBI(-0.25) < -0.12 & Z(1.01) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 19:04:00','ETH','SELL','2480.5','2479.5','2.015723','$1.016','1721.1s','SwingResistance(2) | OBI(-0.91) < -0.12 & Z(0.79) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 19:03:54','SUI','SELL','0.8003','0.7991','6247.579063','$6.498','123.1s','FibSupport(0.6%) FibResistance(0.6%) SwingSupport(3) SwingSupport(2) | OBI(-0.50) < -0.12 & Z(0.60) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 18:26:25','HYPE','BUY','80.0160','80.0040','62.487502','-$1.750','482.4s','POCMagnet | OBI(0.84) > 0.12 & Z(-0.88) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 17:48:22','HYPE','BUY','80.5430','80.9920','62.078641','$26.87','1036.5s','[CVD DIVERGENCE] SwingResistance(2) POCMagnet | OBI(0.96) > 0.12 & Z(-1.10) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 15:37:18','NEAR','BUY','1.9349','1.9377','2584.112874','$6.235','768.8s','FibResistance(0.6%) SwingSupport(3) SwingResistance(2) | OBI(0.81) > 0.10 & Z(-0.49) < -0.42 | Regime: LOW_VOLATILITY'
'25/08/2026, 15:24:13','SOL','BUY','100.1200','100.7900','49.940072','$32.46','1093.7s','BullishFVG | OBI(0.26) > 0.12 & Z(-0.74) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 15:15:36','NEAR','BUY','1.9341','1.9352','2585.181738','$1.843','226.2s','FibResistance(0.5%) SwingSupport(3) SwingResistance(2) | OBI(0.53) > 0.10 & Z(-0.88) < -0.42 | Regime: LOW_VOLATILITY'
'25/08/2026, 15:04:12','SOL','BUY','100.0900','100.1200','49.95504','$0.499','117.2s','BullishFVG | OBI(0.49) > 0.12 & Z(-0.59) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 14:49:00','XRP','BUY','1.5040','1.4951','3324.468085','-$30.58','855.3s','POCMagnet | OBI(0.52) > 0.12 & Z(-0.79) < -0.72 | Regime: TRENDING_BEAR'
'25/08/2026, 14:41:50','SUI','SELL','0.8218','0.8178','6083.909277','$23.82','818.4s','SwingResistance(2) | OBI(-0.45) < -0.12 & Z(0.54) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 14:30:15','XRP','BUY','1.5042','1.5051','3324.02606','$1.991','493.2s','POCMagnet | OBI(0.14) > 0.12 & Z(-0.84) < -0.72 | Regime: TRENDING_BEAR'
'25/08/2026, 14:07:34','BTC','BUY','80700','80746','0.061958','$1.850','2039.0s','BullishFVG | OBI(0.77) > 0.12 & Z(-0.84) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 14:00:35','ETH','SELL','2502.0','2500.7','1.998401','$1.598','1211.0s','SwingResistance(2) | OBI(-0.48) < -0.12 & Z(0.83) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 13:32:47','BTC','BUY','80300','80697','0.062267','$23.72','6237.9s','SwingResistance(3) BullishFVG | OBI(0.76) > 0.10 & Z(-0.59) < -0.42 | Regime: LOW_VOLATILITY'
'25/08/2026, 13:18:10','ETH','SELL','2500.8','2513.5','1.99936','-$26.39','3663.7s','SwingResistance(2) | OBI(-0.98) < -0.12 & Z(0.61) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 12:01:52','ETH','SELL','2499.1','2497.7','2.00072','$1.801','2793.0s','SwingResistance(2) | OBI(-0.24) < -0.12 & Z(0.51) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 11:40:07','BTC','BUY','80274','80307','0.062287','$1.055','694.4s','SwingResistance(3) BullishFVG | OBI(0.99) > 0.12 & Z(-0.49) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 11:32:14','SUI','SELL','0.8231','0.8182','6074.891259','$28.28','409.1s','SwingResistance(2) | OBI(-0.46) < -0.12 & Z(1.02) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 11:16:29','XRP','BUY','1.5100','1.5114','3311.258278','$3.635','528.2s','SwingResistance(2) POCMagnet | OBI(0.94) > 0.12 & Z(-0.81) < -0.72 | Regime: TRENDING_BEAR'
'25/08/2026, 11:05:52','SUI','SELL','0.8213','0.8208','6087.909412','$1.922','123.2s','SwingResistance(2) | OBI(-0.30) < -0.11 & Z(0.48) > 0.42 | Regime: LOW_VOLATILITY'
'25/08/2026, 10:55:19','BTC','BUY','80472','80504','0.062133','$0.988','322.2s','BullishFVG | OBI(0.81) > 0.12 & Z(-0.88) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 10:52:16','ETH','SELL','2499.9','2498.2','2.00008','$2.400','241.6s','SwingResistance(2) | OBI(-0.91) < -0.12 & Z(0.50) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 10:49:19','DOGE','BUY','0.0924','0.0920','54126.027041','-$22.70','215.2s','[CVD DIVERGENCE] SwingResistance(1) POCMagnet | OBI(0.77) > 0.12 & Z(-1.01) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 10:46:49','SUI','SELL','0.8267','0.8250','6048.289544','$9.223','468.2s','FibResistance(0.8%) SwingResistance(2) | OBI(-0.60) < -0.12 & Z(0.76) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 10:16:13','SUI','SELL','0.8309','0.8310','6017.643731','-$1.662','117.4s','[CVD DIVERGENCE] FibResistance(0.3%) | OBI(-0.19) < -0.12 & Z(0.92) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 09:27:45','SUI','SELL','0.8270','0.8312','6045.876108','-$26.27','377.1s','FibResistance(0.8%) SwingResistance(2) | OBI(-0.22) < -0.11 & Z(0.73) > 0.42 | Regime: LOW_VOLATILITY'
'25/08/2026, 08:58:26','ETH','SELL','2495.3','2493.9','2.003767','$1.806','696.7s','SwingResistance(2) | OBI(-0.96) < -0.10 & Z(0.51) > 0.42 | Regime: LOW_VOLATILITY'
'25/08/2026, 08:38:23','ETH','SELL','2501.4','2499.9','1.998881','$1.999','608.4s','SwingResistance(2) | OBI(-0.52) < -0.12 & Z(0.91) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 08:13:27','SUI','SELL','0.8160','0.8129','6127.75136','$17.88','559.1s','SwingResistance(2) | OBI(-0.87) < -0.12 & Z(0.76) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 03:41:27','HYPE','BUY','77.7170','77.9500','64.335988','$13.99','1661.0s','SwingSupport(2) SwingResistance(1) SwingSupport(1) | OBI(0.50) > 0.12 & Z(-0.94) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 03:32:41','SUI','SELL','0.8035','0.8020','6223.085157','$7.900','511.6s','FibSupport(0.9%) FibResistance(0.9%) SwingSupport(2) | OBI(-0.44) < -0.12 & Z(1.08) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 03:00:07','DOGE','SELL','0.0892','0.0892','56051.926505','-$2.009','629.9s','FibResistance(0.5%) SwingSupport(1) SwingSupport(2) | OBI(-0.35) < -0.12 & Z(0.83) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 02:50:37','XRP','BUY','1.4756','1.4762','3388.452155','$1.033','226.7s','POCMagnet | OBI(0.21) > 0.12 & Z(-0.81) < -0.72 | Regime: TRENDING_BEAR'
'25/08/2026, 02:42:04','HYPE','BUY','77.3770','77.6200','64.618685','$14.70','510.2s','FibResistance(0.9%) SwingSupport(2) SwingResistance(1) | OBI(0.37) > 0.11 & Z(-0.46) < -0.42 | Regime: LOW_VOLATILITY'
'25/08/2026, 02:34:55','XRP','BUY','1.4791','1.4798','3380.434048','$1.366','161.0s','POCMagnet | OBI(0.95) > 0.12 & Z(-0.75) < -0.72 | Regime: TRENDING_BEAR'
'25/08/2026, 01:55:51','HYPE','BUY','77.4200','77.4510','64.582795','$1.002','215.3s','FibResistance(0.9%) SwingSupport(2) SwingResistance(1) | OBI(0.42) > 0.12 & Z(-0.96) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 01:25:35','SUI','SELL','0.8138','0.8141','6144.015729','-$3.028','388.6s','SwingResistance(2) | OBI(-0.51) < -0.12 & Z(0.72) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 01:24:14','HYPE','BUY','77.7660','77.3720','64.29545','-$26.33','582.0s','SwingSupport(2) SwingResistance(1) SwingSupport(1) | OBI(0.23) > 0.11 & Z(-0.48) < -0.42 | Regime: LOW_VOLATILITY'
'25/08/2026, 01:14:22','SUI','SELL','0.8131','0.8127','6149.683291','$1.091','462.5s','SwingSupport(2) SwingResistance(2) | OBI(-0.40) < -0.11 & Z(0.46) > 0.42 | Regime: LOW_VOLATILITY'
'25/08/2026, 01:14:16','HYPE','BUY','77.6440','77.6900','64.396476','$1.962','349.6s','SwingSupport(2) SwingResistance(1) SwingSupport(1) | OBI(0.40) > 0.12 & Z(-0.55) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 01:10:09','DOGE','SELL','0.0893','0.0893','55967.225593','-$0.216','392.2s','FibResistance(0.7%) SwingSupport(1) SwingSupport(2) | OBI(-0.24) < -0.12 & Z(0.66) > 0.48 | Regime: TRENDING_BULL'
'25/08/2026, 00:44:20','HYPE','BUY','77.4100','76.8970','64.591138','-$34.13','118.5s','FibResistance(1.0%) SwingSupport(2) SwingResistance(1) | OBI(0.57) > 0.12 & Z(-0.88) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 00:25:22','HYPE','BUY','77.5370','77.5400','64.485342','-$0.807','85.7s','[CVD DIVERGENCE] SwingSupport(2) SwingResistance(1) SwingSupport(1) | OBI(0.58) > 0.12 & Z(-0.86) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 00:18:28','NEAR','BUY','1.9624','1.9670','2547.90053','$10.72','107.4s','SwingResistance(2) SwingResistance(1) POCMagnet | OBI(0.54) > 0.12 & Z(-0.90) < -0.48 | Regime: TRENDING_BEAR'
'25/08/2026, 00:15:20','XRP','BUY','1.4967','1.4879','3340.682836','-$30.40','54.1s','POCMagnet | OBI(0.44) > 0.12 & Z(-0.73) < -0.72 | Regime: TRENDING_BEAR'
'25/08/2026, 00:04:28','HYPE','BUY','78.0590','78.1000','64.054113','$1.626','70.4s','SwingResistance(1) SwingSupport(1) | OBI(0.51) > 0.12 & Z(-0.70) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 23:47:31','XRP','BUY','1.5125','1.5132','3305.785124','$1.314','64.5s','SwingResistance(1) POCMagnet | OBI(0.50) > 0.12 & Z(-1.06) < -0.72 | Regime: TRENDING_BEAR'
'24/08/2026, 23:37:29','HYPE','BUY','79.2910','78.9830','63.058859','-$20.42','960.0s','SwingSupport(1) | OBI(0.87) > 0.11 & Z(-0.61) < -0.42 | Regime: LOW_VOLATILITY'
'24/08/2026, 23:33:17','DOGE','SELL','0.0922','0.0921','54241.70102','$1.821','208.3s','POCMagnet | OBI(-0.42) < -0.12 & Z(0.67) > 0.48 | Regime: TRENDING_BULL'
'24/08/2026, 23:22:06','DOGE','SELL','0.0919','0.0923','54412.884971','-$23.64','336.8s','POCMagnet | OBI(-0.76) < -0.12 & Z(0.73) > 0.48 | Regime: TRENDING_BULL'
'24/08/2026, 23:07:32','DOGE','SELL','0.0916','0.0920','54608.999563','-$26.61','194.1s','POCMagnet | OBI(-0.91) < -0.12 & Z(0.75) > 0.48 | Regime: TRENDING_BULL'
'24/08/2026, 22:57:51','HYPE','BUY','78.7080','78.1500','63.525944','-$36.44','96.7s','SwingResistance(1) SwingSupport(1) | OBI(0.44) > 0.12 & Z(-0.50) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 22:43:33','HYPE','BUY','79.2110','78.7810','113.899521','-$50.78','26.9s','SwingSupport(1) | OBI(0.64) > 0.12 & Z(-0.76) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 22:17:17','DOGE','SELL','0.0919','0.0922','98294.481725','-$31.89','1174.9s','POCMagnet | OBI(-0.52) < -0.12 & Z(0.65) > 0.48 | Regime: TRENDING_BULL'
'24/08/2026, 22:05:39','HYPE','BUY','79.1890','79.2800','113.864568','$8.557','223.9s','SwingSupport(1) | OBI(0.13) > 0.12 & Z(-0.83) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 21:23:26','DOGE','SELL','0.0916','0.0920','98808.889379','-$49.93','117.7s','POCMagnet | OBI(-0.56) < -0.12 & Z(0.67) > 0.48 | Regime: TRENDING_BULL'
'24/08/2026, 21:20:56','DOGE','SELL','0.0916','0.0916','98470.448394','$2.037','252.4s','POCMagnet | OBI(-0.42) < -0.12 & Z(0.86) > 0.48 | Regime: TRENDING_BULL'
'24/08/2026, 21:19:25','HYPE','BUY','79.2090','79.6900','114.060946','$53.05','683.3s','SwingSupport(1) | OBI(0.77) > 0.12 & Z(-0.98) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 21:04:20','HYPE','BUY','78.5410','79.3390','63.661018','$49.80','467.8s','SwingResistance(1) SwingSupport(1) | OBI(0.92) > 0.12 & Z(-0.70) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 20:53:08','HYPE','BUY','78.7060','78.4120','114.907049','-$35.59','253.0s','SwingResistance(1) SwingSupport(1) | OBI(0.46) > 0.11 & Z(-0.53) < -0.42 | Regime: LOW_VOLATILITY'
